Date;Download;Upload
2016-04-23 01:00;27.44;28.33
2016-05-05 07:00;41.11;36.11
2016-05-04 11:00;41.04;35.41
2016-04-29 07:00;40.81;33.93
2016-04-23 13:00;22.18;19.11
2016-05-10 13:00;39.58;35.68
2016-04-19 07:01;18.29;29.71
2016-04-27 13:00;39.37;29.28
2016-04-17 19:01;11.47;12.56
2016-04-30 23:00;33.17;28.24
2016-05-08 19:00;41.01;35.54
2016-04-25 09:00;41.69;36.11
2016-05-01 21:00;41.57;34.97
2016-05-07 03:00;39.57;35.2
2016-05-07 13:00;39.93;35.2
2016-05-02 09:00;41.65;35.77
2016-05-09 09:00;36.14;33.93
2016-04-19 23:01;9.12;11.97
2016-04-24 15:00;20.37;15.85
2016-05-07 09:00;39.9;35.49
2016-05-06 23:00;38.9;35.89
2016-04-18 01:00;6.46;13.54
2016-05-04 03:00;38.32;35.59
2016-05-03 11:00;40.87;32.26
2016-04-26 17:00;39.5;36.34
2016-04-20 11:00;0.52;9.78
2016-04-26 23:00;37.26;32.89
2016-04-27 23:00;41.12;33.25
2016-05-03 03:00;39.86;35.17
2016-04-27 07:00;41.18;34.12
2016-04-24 09:00;22.89;22.1
2016-04-21 01:00;1.73;12.41
2016-05-01 17:00;40.58;34.24
2016-04-25 17:00;40.62;34.64
2016-04-27 09:00;41.1;34.27
2016-04-21 15:01;34.11;17.33
2016-04-24 03:00;17.61;10.9
2016-04-26 15:00;40.01;35.89
2016-04-24 05:00;12.16;17.55
2016-05-04 09:00;41.32;35.87
2016-04-29 09:00;41.36;34.44
2016-05-05 23:00;36.89;33.27
2016-04-26 07:00;41.3;35.15
2016-04-21 03:00;1.4;14.44
2016-04-28 07:00;41.47;34.6
2016-05-06 15:00;40.93;35.83
2016-04-28 05:00;39.01;33.24
2016-05-10 03:00;31.79;30.03
2016-05-04 05:00;34.66;35.32
2016-04-27 03:00;39.96;34.4
2016-04-21 07:00;9.91;14.46
2016-04-28 13:00;41.37;34.19
2016-05-10 09:00;42.13;36.72
2016-05-05 09:00;40.63;35.82
2016-04-25 11:00;41.67;32.86
2016-04-25 05:00;41.88;35.94
2016-04-22 21:00;15.51;7.47
2016-04-26 13:00;41.26;35.47
2016-05-02 11:00;41.67;36.19
2016-05-02 05:00;37.88;33.86
2016-04-26 21:00;41.31;34.41
2016-04-28 19:00;11.45;7.17
2016-04-29 23:00;40.99;35.54
2016-05-01 03:00;34.49;30.67
2016-04-18 10:00;22.37;18.09
2016-05-01 19:00;41.67;36.25
2016-04-24 13:00;24.72;21.83
2016-05-09 15:00;37.68;33.89
2016-04-18 04:00;2.28;15.19
2016-04-28 23:00;34.15;30.1
2016-05-01 23:00;41.49;35.9
2016-04-30 19:00;41.12;35.21
2016-05-01 05:00;35.53;28.01
2016-04-21 17:01;5.11;12.47
2016-04-20 17:01;30.0;35.93
2016-04-29 21:00;41.5;35.62
2016-04-24 21:00;35.47;30.29
2016-04-22 01:00;13.08;7.76
2016-04-29 15:00;40.62;34.35
2016-04-27 17:00;41.02;34.8
2016-05-03 21:00;41.63;35.64
2016-05-02 03:00;36.84;32.35
2016-05-06 03:00;41.21;35.48
2016-05-04 01:00;40.82;35.56
2016-04-28 03:00;40.93;35.37
2016-04-23 21:00;21.73;20.19
2016-05-08 17:00;40.64;35.75
2016-05-05 13:00;40.94;35.76
2016-05-08 11:00;40.83;34.78
2016-05-07 05:00;41.25;10.48
2016-05-07 11:00;40.76;35.47
2016-04-19 21:01;21.67;27.52
2016-04-26 09:00;41.18;35.05
2016-05-05 21:00;41.53;35.74
2016-05-05 05:00;40.94;35.71
2016-04-20 15:00;4.33;13.59
2016-04-24 17:00;31.6;27.28
2016-04-24 23:00;39.07;36.52
2016-05-02 15:00;41.08;35.45
2016-04-30 11:00;40.89;34.7
2016-04-25 07:00;38.94;35.53
2016-04-24 01:00;21.06;14.8
2016-05-01 13:00;42.14;35.63
2016-05-06 11:00;41.0;35.78
2016-05-03 19:00;38.56;34.91
2016-05-06 17:00;40.78;35.81
2016-04-23 19:00;14.8;9.0
2016-04-20 19:00;1.87;12.7
2016-04-30 15:00;41.67;35.04
2016-04-27 05:00;41.01;33.77
2016-04-17 22:01;21.87;17.1
2016-04-28 15:00;39.13;31.77
2016-05-03 17:00;40.45;35.2
2016-04-19 13:01;28.61;35.21
2016-04-28 01:00;41.26;34.91
2016-05-08 23:00;35.61;32.27
2016-05-09 03:00;37.62;34.5
2016-04-17 16:52;40.33;35.24
2016-05-07 17:00;40.73;35.26
2016-04-28 21:00;28.14;22.7
2016-04-21 23:01;34.58;35.92
2016-04-18 16:01;7.81;7.5
2016-04-20 01:01;13.07;13.07
2016-04-26 19:00;40.91;35.26
2016-04-30 17:00;40.27;33.63
2016-04-30 07:00;38.96;34.94
2016-04-25 13:00;32.22;26.11
2016-05-06 05:00;40.95;35.93
2016-05-10 05:00;41.75;36.07
2016-05-10 11:00;42.03;36.18
2016-05-09 17:00;36.34;34.46
2016-05-07 01:00;40.94;36.01
2016-05-08 07:00;40.69;35.64
2016-04-21 05:01;12.9;16.17
2016-04-23 11:00;21.59;20.04
2016-04-23 23:00;18.18;14.89
2016-04-25 01:00;40.94;36.07
2016-04-28 11:00;39.93;34.36
2016-04-23 15:00;19.97;14.48
2016-05-09 21:00;41.53;33.51
2016-04-22 09:00;42.71;36.84
2016-05-04 15:00;40.75;35.67
2016-04-21 21:01;8.01;8.39
2016-04-20 23:00;7.1;18.37
2016-04-20 05:01;22.14;20.67
2016-05-06 19:00;41.12;35.55
2016-05-10 17:00;41.69;35.7
2016-05-07 21:00;39.29;34.97
2016-05-09 19:00;41.57;33.51
2016-04-29 19:00;41.37;35.09
2016-04-24 11:00;27.88;20.39
2016-04-23 17:00;21.67;15.16
2016-04-23 07:00;30.23;23.01
2016-04-30 09:00;41.12;35.05
2016-05-05 19:00;39.72;34.99
2016-04-29 13:00;41.09;34.95
2016-05-03 05:00;39.19;34.96
2016-05-02 01:00;39.0;34.11
2016-05-06 01:00;38.51;35.54
2016-04-18 19:00;7.6;9.13
2016-04-19 16:01;3.76;16.49
2016-05-10 01:00;33.49;27.56
2016-04-22 11:00;42.85;37.08
2016-05-02 13:00;41.38;36.04
2016-04-26 05:00;41.47;35.18
2016-04-30 05:00;41.42;33.98
2016-05-06 13:00;40.04;35.09
2016-05-08 03:00;40.56;35.34
2016-05-09 07:00;37.81;33.6
2016-04-25 03:00;39.19;34.9
2016-05-09 01:00;40.73;35.16
2016-04-21 19:01;21.29;18.68
2016-04-29 03:00;40.21;32.87
2016-05-08 15:00;40.15;35.3
2016-04-26 01:00;40.57;34.63
2016-04-25 15:00;26.12;15.56
2016-05-08 09:00;40.63;35.52
2016-04-19 10:00;5.74;3.02
2016-05-06 09:00;40.94;35.75
2016-05-05 15:00;41.37;35.52
2016-05-04 13:00;38.04;34.03
2016-05-01 09:00;41.31;36.44
2016-04-19 19:00;26.92;15.29
2016-04-21 13:01;16.93;22.27
2016-04-27 01:00;41.37;34.26
2016-05-02 21:00;41.3;35.97
2016-04-18 22:00;13.94;16.15
2016-04-22 23:00;29.82;22.0
2016-04-20 21:01;26.9;12.81
2016-04-28 17:00;40.27;33.13
2016-05-03 15:00;37.25;33.82
2016-04-26 03:00;41.97;34.94
2016-04-16 07:00;4.37;6.67
2016-04-27 19:00;40.57;34.38
2016-04-23 09:00;27.35;19.93
2016-04-28 09:00;40.88;34.84
2016-05-03 07:00;41.26;32.32
2016-05-07 15:00;39.76;34.83
2016-05-04 07:00;39.34;35.18
2016-04-22 15:00;38.66;36.18
2016-04-29 17:00;41.27;32.33
2016-05-08 21:00;25.46;23.26
2016-05-07 07:00;39.87;35.73
2016-04-24 19:00;39.87;34.35
2016-04-23 05:00;19.94;22.06
2016-05-07 19:00;40.7;35.39
2016-05-03 01:00;41.86;35.94
2016-05-04 21:00;35.8;31.07
2016-04-18 13:01;9.05;12.51
2016-05-04 17:00;39.02;30.79
2016-05-06 21:00;39.52;35.04
2016-05-02 23:00;42.0;35.6
2016-04-19 04:01;36.61;34.75
2016-05-03 13:00;41.44;35.28
2016-05-05 01:00;41.3;35.94
2016-04-27 21:00;41.37;34.98
2016-05-08 13:00;40.58;35.11
2016-05-09 23:00;38.95;34.94
2016-04-21 09:01;14.43;18.84
2016-05-07 23:00;40.41;35.39
2016-05-08 05:00;40.81;35.36
2016-04-30 03:00;36.96;33.76
2016-04-20 03:01;20.45;25.13
2016-04-29 01:00;40.3;33.45
2016-05-05 03:00;41.21;36.09
2016-05-10 15:00;41.09;36.42
2016-04-18 07:01;23.03;21.97
2016-05-09 11:00;36.18;27.87
2016-05-10 07:00;41.06;36.25
2016-05-08 01:00;39.76;35.72
2016-05-03 09:00;41.07;36.16
2016-04-26 11:00;41.48;34.63
2016-05-09 05:00;39.01;34.6
2016-04-25 23:00;36.71;33.92
2016-04-30 01:00;40.9;35.05
2016-04-21 11:01;7.33;19.62
2016-04-20 13:01;2.68;12.81
2016-04-30 13:00;41.21;35.27
2016-05-03 23:00;36.22;9.96
2016-05-09 13:00;38.15;16.69
2016-04-22 19:00;41.19;35.69
2016-04-20 09:01;17.44;25.73
2016-04-24 07:00;26.1;22.09
2016-04-25 21:00;39.35;32.19
2016-05-02 17:00;41.92;35.79
2016-05-02 07:00;41.53;36.22
2016-04-27 15:00;40.57;31.14
2016-05-04 19:00;40.48;35.7
2016-05-01 11:00;41.27;35.61
2016-04-27 11:00;41.18;33.82
2016-04-22 13:00;42.26;36.26
2016-05-05 17:00;40.51;35.66
2016-05-01 07:00;40.52;36.23
2016-05-01 01:00;40.28;35.24
2016-04-23 03:00;22.73;10.17
2016-05-06 07:00;41.11;35.88
2016-04-25 19:00;40.11;34.61
2016-05-04 23:00;40.16;35.84
2016-04-29 05:00;39.96;34.44
2016-05-02 19:00;40.89;35.6
2016-04-19 01:00;6.87;17.3
2016-05-01 15:00;37.86;32.57
2016-04-20 07:00;23.41;25.67
2016-04-29 11:00;41.15;34.69
2016-04-30 21:00;33.99;26.52
2016-05-05 11:00;41.13;35.58
